1602752744 1 0 0
1604593076 1 1 0
1604740098 2 1 0
1604741844 3 1 0
1604742384 4 1 0
1605443148 5 1 0
1605443299 6 1 0
1605449778 7 1 0
1607017598 7 2 0
1607021569 7 3 0
1607023937 7 4 0
1607024569 7 5 0
1607025329 7 6 0
1607027829 7 7 0
1607034019 7 8 0
1607067163 8 8 0
1607103404 9 8 0
1607108086 10 8 0
1607110326 11 8 0
1607115452 12 8 0
1607117182 13 8 0
1607167173 14 8 0
1607181072 15 8 0
1607182343 16 8 0
1607289876 16 9 0
1607290384 16 10 0
1607290556 17 10 0
1607291737 18 10 0
1607292094 18 11 0
1607292297 19 11 0
1607292396 19 12 0
1607292604 19 13 0
1607294550 19 14 0
1607294767 19 15 0
1607294845 19 15 1
1607296571 19 16 1
1607298065 19 17 1
